                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
   10.5890   2.9450  24.4240  0.27490E+01  0.28888E+01  0.12895E-03  0.28694E+01  0.28048E+01  0.12928E-03  0.27839E+01
   10.5890   2.9450  24.4340  0.27411E+01  0.28801E+01  0.12773E-03  0.28608E+01  0.27963E+01  0.12806E-03  0.27755E+01
   10.5890   2.9450  24.4440  0.27333E+01  0.28715E+01  0.12653E-03  0.28523E+01  0.27878E+01  0.12685E-03  0.27671E+01
   10.5890   2.9450  24.4540  0.27255E+01  0.28630E+01  0.12534E-03  0.28439E+01  0.27795E+01  0.12566E-03  0.27589E+01
   10.5890   2.9450  24.4640  0.27177E+01  0.28545E+01  0.12415E-03  0.28354E+01  0.27711E+01  0.12447E-03  0.27506E+01
   10.5890   2.9450  24.4740  0.27099E+01  0.28461E+01  0.12298E-03  0.28271E+01  0.27628E+01  0.12330E-03  0.27423E+01
   10.5890   2.9450  24.4840  0.27021E+01  0.28376E+01  0.12182E-03  0.28187E+01  0.27546E+01  0.12213E-03  0.27342E+01
   10.5890   2.9450  24.4940  0.26944E+01  0.28290E+01  0.12067E-03  0.28102E+01  0.27462E+01  0.12098E-03  0.27259E+01
   10.5890   2.9450  24.5040  0.26867E+01  0.28206E+01  0.11953E-03  0.28019E+01  0.27379E+01  0.11983E-03  0.27178E+01
   10.5890   2.9450  24.5140  0.26790E+01  0.28122E+01  0.11840E-03  0.27936E+01  0.27297E+01  0.11870E-03  0.27096E+01
   10.5890   2.9450  24.5240  0.26713E+01  0.28036E+01  0.11728E-03  0.27851E+01  0.27212E+01  0.11757E-03  0.27013E+01
   10.5890   2.9450  24.5340  0.26636E+01  0.27952E+01  0.11617E-03  0.27767E+01  0.27130E+01  0.11646E-03  0.26931E+01
   10.5890   2.9450  24.5440  0.26560E+01  0.27868E+01  0.11506E-03  0.27684E+01  0.27048E+01  0.11535E-03  0.26850E+01
   10.5890   2.9450  24.5540  0.26483E+01  0.27785E+01  0.11397E-03  0.27602E+01  0.26966E+01  0.11426E-03  0.26769E+01
   10.5890   2.9450  24.5640  0.26407E+01  0.27701E+01  0.11289E-03  0.27519E+01  0.26884E+01  0.11317E-03  0.26688E+01
   10.5890   2.9450  24.5740  0.26331E+01  0.27618E+01  0.11182E-03  0.27437E+01  0.26803E+01  0.11210E-03  0.26607E+01
   10.5890   2.9450  24.5840  0.26256E+01  0.27535E+01  0.11076E-03  0.27355E+01  0.26722E+01  0.11103E-03  0.26527E+01
   10.5890   2.9450  24.5940  0.26180E+01  0.27453E+01  0.10970E-03  0.27273E+01  0.26641E+01  0.10998E-03  0.26447E+01
   10.5890   2.9450  24.6040  0.26105E+01  0.27372E+01  0.10866E-03  0.27193E+01  0.26562E+01  0.10893E-03  0.26369E+01
