***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
   10.5890   2.5000  21.0000   0.2317   3.5166  0.60790E+01  0.60789E+01  0.61368E-04  0.60790E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   2.5100  21.0000   0.2329   3.5307  0.60563E+01  0.60563E+01  0.61200E-04  0.60563E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   2.5200  21.0000   0.2341   3.5447  0.60337E+01  0.60336E+01  0.61037E-04  0.60337E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   2.5300  21.0000   0.2353   3.5588  0.60110E+01  0.60109E+01  0.60878E-04  0.60110E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   2.5400  21.0000   0.2365   3.5728  0.59884E+01  0.59883E+01  0.60724E-04  0.59884E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   2.5500  21.0000   0.2378   3.5869  0.59657E+01  0.59657E+01  0.60574E-04  0.59657E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   2.5600  21.0000   0.2390   3.6010  0.59431E+01  0.59430E+01  0.60428E-04  0.59431E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   2.5700  21.0000   0.2402   3.6150  0.59205E+01  0.59204E+01  0.60287E-04  0.59205E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   2.5800  21.0000   0.2415   3.6291  0.58978E+01  0.58978E+01  0.60150E-04  0.58978E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   2.5900  21.0000   0.2427   3.6432  0.58752E+01  0.58751E+01  0.60017E-04  0.58752E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   2.6000  21.0000   0.2439   3.6572  0.58526E+01  0.58525E+01  0.59889E-04  0.58526E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   2.6100  21.0000   0.2452   3.6713  0.58300E+01  0.58299E+01  0.59765E-04  0.58300E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
