                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
   10.5890   2.5900  21.0000  0.58752E+01  0.58752E+01  0.00000E+00  0.00000E+00  0.58752E+01  0.00000E+00  0.00000E+00
   10.5890   2.6000  21.0000  0.58526E+01  0.58526E+01  0.00000E+00  0.00000E+00  0.58526E+01  0.00000E+00  0.00000E+00
   10.5890   2.6100  21.0000  0.58300E+01  0.58300E+01  0.00000E+00  0.00000E+00  0.58300E+01  0.00000E+00  0.00000E+00
   10.5890   2.6200  21.0000  0.58074E+01  0.58074E+01  0.00000E+00  0.00000E+00  0.58074E+01  0.00000E+00  0.00000E+00
   10.5890   2.6300  21.0000  0.57848E+01  0.57848E+01  0.00000E+00  0.00000E+00  0.57848E+01  0.00000E+00  0.00000E+00
   10.5890   2.6400  21.0000  0.57622E+01  0.57622E+01  0.00000E+00  0.00000E+00  0.57622E+01  0.00000E+00  0.00000E+00
   10.5890   2.6500  21.0000  0.57396E+01  0.57396E+01  0.00000E+00  0.00000E+00  0.57396E+01  0.00000E+00  0.00000E+00
   10.5890   2.6600  21.0000  0.57170E+01  0.57170E+01  0.00000E+00  0.00000E+00  0.57170E+01  0.00000E+00  0.00000E+00
   10.5890   2.6700  21.0000  0.56944E+01  0.56944E+01  0.00000E+00  0.00000E+00  0.56944E+01  0.00000E+00  0.00000E+00
   10.5890   2.6800  21.0000  0.56718E+01  0.56718E+01  0.00000E+00  0.00000E+00  0.56718E+01  0.00000E+00  0.00000E+00
   10.5890   2.6900  21.0000  0.56492E+01  0.56492E+01  0.00000E+00  0.00000E+00  0.56492E+01  0.00000E+00  0.00000E+00
   10.5890   2.7000  21.0000  0.56267E+01  0.56267E+01  0.00000E+00  0.00000E+00  0.56267E+01  0.00000E+00  0.00000E+00
   10.5890   2.7100  21.0000  0.56040E+01  0.56040E+01  0.00000E+00  0.00000E+00  0.56040E+01  0.00000E+00  0.00000E+00
   10.5890   2.7200  21.0000  0.55813E+01  0.55813E+01  0.00000E+00  0.00000E+00  0.55813E+01  0.00000E+00  0.00000E+00
   10.5890   2.7300  21.0000  0.55587E+01  0.55587E+01  0.00000E+00  0.00000E+00  0.55587E+01  0.00000E+00  0.00000E+00
   10.5890   2.7400  21.0000  0.55360E+01  0.55360E+01  0.00000E+00  0.00000E+00  0.55360E+01  0.00000E+00  0.00000E+00
